Group,Block_Type,Subject,Beta_Coefficient
Explicit,Baseline,sub-101,-1.6429048459816122
Explicit,Baseline,sub-103,-1.8167805044522845
Explicit,Baseline,sub-106,13.12792317348475
Explicit,Baseline,sub-112,-1.1209582937057474
Explicit,Baseline,sub-113,0.6375504936180674
Explicit,Baseline,sub-114,-3.585981138871146
Explicit,Baseline,sub-117,-1.0949149549668657
Explicit,Baseline,sub-118,2.706801271528571
Explicit,Baseline,sub-120,0.0035842015286037545
Explicit,Baseline,sub-124,0.5547924570299901
Explicit,Baseline,sub-130,-1.3532317269385117
Explicit,Baseline,sub-133,-3.190526644363349
Explicit,Baseline,sub-134,2.6102814354382344
Explicit,Baseline,sub-136,0.003824549403066231
Explicit,Baseline,sub-138,-1.6888817248028969
Explicit,Baseline,sub-140,-0.6372241901076132
Explicit,Baseline,sub-143,-0.9482957637525214
Explicit,Baseline,sub-145,1.3138561218413434
Explicit,Adaptation,sub-101,-0.29621460473848527
Explicit,Adaptation,sub-103,3.5427527735024875
Explicit,Adaptation,sub-106,3.1143192747379147
Explicit,Adaptation,sub-112,2.0275061245148254
Explicit,Adaptation,sub-113,1.9231895141926962
Explicit,Adaptation,sub-114,-0.4596424216041873
Explicit,Adaptation,sub-117,1.528405946807546
Explicit,Adaptation,sub-118,-0.49942369740413095
Explicit,Adaptation,sub-120,1.4149295495782164
Explicit,Adaptation,sub-124,1.2989172935758855
Explicit,Adaptation,sub-130,-0.3072696037974829
Explicit,Adaptation,sub-133,0.9014950105154732
Explicit,Adaptation,sub-134,4.0233718483141585
Explicit,Adaptation,sub-136,1.5035187357723494
Explicit,Adaptation,sub-138,0.8748498099859693
Explicit,Adaptation,sub-140,0.16541325011123556
Explicit,Adaptation,sub-143,-0.13222418095847321
Explicit,Adaptation,sub-145,1.3327992949186636
Explicit,Washout,sub-101,-2.6574668072324688
Explicit,Washout,sub-103,1.5715787828961876
Explicit,Washout,sub-106,-1.2195849886474548
Explicit,Washout,sub-112,1.238302947673567
Explicit,Washout,sub-113,-1.991614125432313
Explicit,Washout,sub-114,1.160794866410077
Explicit,Washout,sub-117,4.561255938409492
Explicit,Washout,sub-118,-0.22891788012301897
Explicit,Washout,sub-120,-0.001942134213694651
Explicit,Washout,sub-124,0.8519508019964998
Explicit,Washout,sub-130,-0.2341425230414158
Explicit,Washout,sub-133,-0.5923186471343764
Explicit,Washout,sub-134,0.9118222916189985
Explicit,Washout,sub-136,8.532283046297188
Explicit,Washout,sub-138,3.4718482495852343
Explicit,Washout,sub-140,0.036832317571581966
Explicit,Washout,sub-143,1.7998232523650357
Explicit,Washout,sub-145,1.301522067576563
Implicit,Baseline,sub-102,1.5888078025998709
Implicit,Baseline,sub-107,-0.9580587270430868
Implicit,Baseline,sub-108,-0.13605197949864709
Implicit,Baseline,sub-109,-0.25076823416441707
Implicit,Baseline,sub-110,7.5010226030207265
Implicit,Baseline,sub-111,-3.9206347791399145
Implicit,Baseline,sub-119,-1.3524939449071902
Implicit,Baseline,sub-122,5.9644683861722845
Implicit,Baseline,sub-123,-2.8759270549833515
Implicit,Baseline,sub-126,0.9386968676143375
Implicit,Baseline,sub-127,-0.42686471529663
Implicit,Baseline,sub-129,-0.06705783283317004
Implicit,Baseline,sub-131,0.9595504186855557
Implicit,Baseline,sub-132,0.1926886005727338
Implicit,Baseline,sub-135,-1.8745883884096384
Implicit,Baseline,sub-139,0.08410332109931926
Implicit,Baseline,sub-141,0.5584084806583537
Implicit,Baseline,sub-142,0.11225699318739873
Implicit,Baseline,sub-144,5.738909208422207
Implicit,Adaptation,sub-102,-0.769286624527945
Implicit,Adaptation,sub-107,0.2504218645620328
Implicit,Adaptation,sub-108,-0.02232264444412669
Implicit,Adaptation,sub-109,-0.6341242999897245
Implicit,Adaptation,sub-110,-0.6209604090692399
Implicit,Adaptation,sub-111,-0.594214214516727
Implicit,Adaptation,sub-119,0.7312414001342116
Implicit,Adaptation,sub-122,-2.6994733184512505
Implicit,Adaptation,sub-123,1.298243584575954
Implicit,Adaptation,sub-126,0.8542008398119462
Implicit,Adaptation,sub-127,0.16920745610456353
Implicit,Adaptation,sub-129,0.3920593061636996
Implicit,Adaptation,sub-131,2.4124619058690313
Implicit,Adaptation,sub-132,0.019404558349973476
Implicit,Adaptation,sub-135,0.2514809504574963
Implicit,Adaptation,sub-139,2.196196972511331
Implicit,Adaptation,sub-141,-0.2166531954595549
Implicit,Adaptation,sub-142,0.6262242897453907
Implicit,Adaptation,sub-144,1.7266535907130454
Implicit,Washout,sub-102,-4.021067069170612
Implicit,Washout,sub-107,1.0278565632686931
Implicit,Washout,sub-108,0.6098017673768206
Implicit,Washout,sub-109,-0.4768681157064158
Implicit,Washout,sub-110,0.2473627131537039
Implicit,Washout,sub-111,0.6147934407039424
Implicit,Washout,sub-119,1.373117904267784
Implicit,Washout,sub-122,-1.203395288653345
Implicit,Washout,sub-123,0.6440486864401666
Implicit,Washout,sub-126,-0.5821573674789572
Implicit,Washout,sub-127,-1.1624100671542617
Implicit,Washout,sub-129,-0.7446319853667028
Implicit,Washout,sub-131,-3.1435582666381765
Implicit,Washout,sub-132,0.05001087046742112
Implicit,Washout,sub-135,1.545572698428347
Implicit,Washout,sub-139,-2.7382676632663867
Implicit,Washout,sub-141,0.6860116871304102
Implicit,Washout,sub-142,-0.7039042886031314
Implicit,Washout,sub-144,2.804637691590221
